Показатель,Регион,Сумма_млн_руб,Джини,Top10%,Сохранение
innovations,Московская область,657305.5,0.528,34.5,True
innovations,Краснодарский край,33826.9,0.804,68.2,True
innovations,Республика Саха (Якутия),1856.8,0.847,76.6,True
