Регион,Метод,Джини,Top-10%,Сумма,Ячеек
Московская область,v4 (строгий),0.993,100.0%,209.0,141967
Московская область,v4 (сглаженный),0.924,89.6%,209.0,141967
Краснодарский край,v4 (строгий),0.997,100.0%,59.7,185691
Краснодарский край,v4 (сглаженный),0.971,99.2%,59.7,185691
Якутия (центр),v4 (строгий),0.999,100.0%,11.2,160801
Якутия (центр),v4 (сглаженный),0.977,98.1%,11.2,160801
