config,top10_pct,max_cell,нулевых_ячеек
Все 3 маски,12.085504221227618,7.079940781224778,78
Без регрессии,11.228162955640444,3.5771571777768476,78
Без WorldPop,10.995072034161208,4.790794924538126,78
Без baseline,89.01200996668457,226.45140421693003,93152
Только baseline,10.182469887458257,1.451533461511872,78
Только регрессия (часть 1),94.65998102861562,340.52499442595433,93152
