cell_code,weight
0,0.10348383795994733
1,0.112873873467217
2,0.1274027680534946
3,0.14380179229353837
4,0.16231166545884226
5,0.18320409171427912
6,0.20678574843016959
7,0.23340278786187693
8,0.2634459182767011
9,0.2973561391122299
10,0.33563121435368887
11,0.37883297915034964
12,0.4275955869249427
13,0.48263481803469055
14,0.5447585866226781
15,0.614878799891738
16,0.6940247438782912
17,0.7833581922161358
18,0.884190459670445
19,0.9980016507650852
20,0.8877808543768237
21,0.7865117388477696
22,0.6967926235139908
23,0.6173079640166238
24,0.5468902935807038
25,0.4845053209207164
26,0.4292367386217751
27,0.3802727644611512
28,0.3368942179908508
29,0.2984639572505117
30,0.26441752045757727
31,0.23425483522035356
32,0.20753287349927757
33,0.18385914443282722
34,0.16288592945102215
35,0.14430517500214274
36,0.12784396787729022
37,0.11326052667457648
38,0.10034065052576611
39,0.08889457292444271
40,0.07875417444488138
41,0.06977051341217963
42,0.06181163825425038
43,0.054760649403610986
44,0.04851398228227671
45,0.042979886150324935
46,0.038077076475532795
47,0.03373354103015956
48,0.029885482178881893
49,0.026476379822259134
50,0.023456161232288254
51,0.02078046558663382
52,0.018409992399048072
53,0.01630992427575873
54,0.014449415519299109
55,0.012801139068418455
56,0.01134088511954831
57,0.010047205534396426
58,0.008901098810744908
59,0.007887638676314849
60,0.006990227602494554
61,0.006194918902840248
62,0.005490095944668832
63,0.0048654637702924665
64,0.004311898724286598
65,0.003821315189319921
66,0.003386547484030513
67,0.003001245197895985
68,0.0026597804343122373
69,0.0023571656070319473
70,0.002088980589260939
71,0.0018513081513198205
72,0.0016406767438445983
73,0.0014540097907922483
74,0.001288580751602319
75,0.001141973296132531
76,0.0010120460106657473
77,0.0008969011194685483
78,0.000794856765034587
79,0.0007044224421256327
80,0.0006242772267889662
81,0.0005532504823544717
82,0.0004903047605946505
83,0.00043452064829425967
84,0.00038508333789187413
85,0.00034127072603814396
86,0.000302442866233033
87,0.00026803262148253706
88,0.00023753738044344155
89,0.00021051171605844418
90,0.0001865608794503933
91,0.00016533503404457184
92,0.00014652414570005476
93,0.00012985345421311613
94,0.00011507946004746186
95,0.00010198636767167057
96,9.038293355366356e-05
97,8.029151895448927e-05
98,7.154347879900954e-05
99,6.373327803668812e-05
100,5.6762560387311326e-05
101,5.0542968447671996e-05
102,4.4995173723093784e-05
103,4.0047993756176e-05
104,3.5637589622215775e-05
105,3.1706737400048864e-05
106,2.820416758351016e-05
107,2.5083966763392194e-05
108,2.230503627552378e-05
109,1.983060287185334e-05
110,1.7627776823903532e-05
111,1.5667153208477637e-05
112,1.3922452451724161e-05
113,1.2370196518016587e-05
114,1.0989417423581336e-05
115,9.761395030880457e-06
116,8.669421338274757e-06
117,7.698588720601266e-06
118,6.8355998003629514e-06
119,6.068596836787094e-06
120,5.614774753268098e-06
121,6.19937652888302e-06
122,6.841500232043532e-06
123,7.546351132944112e-06
124,8.319544130567983e-06
125,9.167127648675308e-06
126,1.0095607740410245e-05
