cell_code,weight
0,0.027221500448967904
1,0.005116587325435838
2,0.00496480669689475
3,0.029507952802727864
4,0.02806343006031267
5,0.02663392178485294
6,0.025229821938887936
7,0.023867039929878382
8,0.022860994510509342
9,0.0050749345022336086
10,0.004834542540058505
11,0.004543829825705067
12,0.03312778230875826
13,0.031420499149428786
14,0.02964464634697262
15,0.027823821934046703
16,0.026020285391408587
17,0.024269830092961464
18,0.022670736839046593
19,0.02120415532764279
20,0.020289572838595175
21,0.005132317815726051
22,0.005000112192000059
23,0.004687337811991244
24,0.004354158096402964
25,0.004101122120522961
26,0.036312950199260695
27,0.0379820076901067
28,0.03916838523120107
29,0.03993320273580059
30,0.037190077554666044
31,0.035142830173907215
32,0.033178660627239634
33,0.031092812267291367
34,0.029022050537505478
35,0.02701715587915993
36,0.02510453136450707
37,0.02329669681563283
38,0.021771395618193374
39,0.0050473856395461016
40,0.004832310549058437
41,0.0045134140239167396
42,0.004208793780483077
43,0.003925546506751376
44,0.003700826899744447
45,0.03590073920430045
46,0.037332558689047175
47,0.0395831831294801
48,0.041315147032145914
49,0.042213143314842896
50,0.04277986950839558
51,0.03921016967829535
52,0.03711981926757842
53,0.034702663224929826
54,0.032305607408674004
55,0.029999641312404388
56,0.0278151400022104
57,0.025763315081003234
58,0.02384594839132365
59,0.02253584360492988
60,0.0049829578896056995
61,0.004896826545754458
62,0.0046282576070862756
63,0.004334637247468212
64,0.004044225157592991
65,0.0037752908447541123
66,0.0035307934259690313
67,0.00142688492515138
68,0.03504967766360842
69,0.03622839291749165
70,0.038876511264747324
71,0.04173525650626778
72,0.04430035289963429
73,0.045453133673617724
74,0.04432472743979573
75,0.04147692868556188
76,0.03862312343705469
77,0.03582095335176809
78,0.033163926643911344
79,0.030675364636321367
80,0.02835789641806631
81,0.026206282668407417
82,0.024237528386314818
83,0.023060845999428578
84,0.004851783989145161
85,0.004686416952422745
86,0.004405375534798448
87,0.004138006499297258
88,0.003878605440661447
89,0.003621601398957982
90,0.001465182970425696
91,0.0015155217249989174
92,0.0015874693786918335
93,0.025228106171393743
94,0.024844420545358847
95,0.03521632618973619
96,0.03755260292332031
97,0.040611476887468585
98,0.04338276506897573
99,0.046440722647480476
100,0.049226969053884885
101,0.04612296018247829
102,0.04262849697776667
103,0.039367726029468204
104,0.03634880248377483
105,0.03355853340802314
106,0.030981126092625388
107,0.02860096659679537
108,0.026403256695845277
